sn,ResponseID,rating,StartDate,EndDate,genderq,ageq,edu,socpol,ecopol,polpos,polpref
12,"R_2cthMDzvH535Bhj",5,"2020-11-29 19:35:48","2020-11-29 19:42:04",1,46,5,3,4,3,3
12,"R_2zUCjGcDqbWddbP",6,"2020-11-29 19:36:48","2020-11-29 19:41:02",2,26,3,3,4,1,3
12,"R_2zjaEInP523LJjF",6,"2020-11-29 23:41:18","2020-11-29 23:45:22",1,27,5,5,5,1,2
12,"R_30ie9Jx4Z7lmd0M",5,"2020-11-29 18:07:21","2020-11-29 18:20:21",1,20,4,3,3,1,2
12,"R_3Ph7sEx60GzHuIw",5,"2020-11-29 21:33:59","2020-11-29 21:36:47",1,31,6,4,4,2,4
12,"R_3UfFuxy4y5a6uvD",5,"2020-11-29 21:33:13","2020-11-29 21:37:43",1,24,5,1,1,3,3
12,"R_3iI3Ryq0OVR55nu",6,"2020-11-25 13:40:51","2020-11-25 13:45:49",1,35,5,6,5,1,1
12,"R_3lAD7TnhSc2fjqw",7,"2020-11-29 23:25:44","2020-11-29 23:28:25",2,59,5,6,5,2,6
12,"R_3m4BQLTeRbLBnj0",5,"2020-11-29 23:25:17","2020-11-29 23:28:36",1,35,2,3,5,2,4
12,"R_5A83zXgAGBSmOS5",7,"2020-11-29 19:40:32","2020-11-29 19:43:09",2,38,4,4,4,2,4
12,"R_BVchtKJUcktXzXz",1,"2020-11-29 18:47:13","2020-11-29 18:50:57",2,28,5,1,2,1,2
12,"R_RVPAdP1dN886rJf",5,"2020-11-29 21:32:53","2020-11-29 21:35:39",1,38,5,3,4,3,4
12,"R_ac4l1itGnKkWzeh",4,"2020-11-25 16:43:43","2020-11-25 16:46:22",1,24,5,4,3,1,2
13,"R_0UQQLKDBQ8WxSmJ",4,"2020-11-29 17:56:53","2020-11-29 18:02:54",2,60,6,3,4,3,3
13,"R_1DU7NXmZN0qJ4Eo",4,"2020-11-25 16:22:48","2020-11-25 16:31:04",1,39,4,4,4,3,3
